,Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
147,14 ,Kumar Kartikeya Singh,3000000,3000000,Uncapped, 
148,1 ,Josh Hazlewood   ,20000000,125000000,Capped, 
149,2 ,Phil Salt  ,20000000,115000000,Capped, 
150,3 ,Jitesh Sharma,10000000,110000000,Capped, 
151,4 ,Bhuvneshwar Kumar,20000000,107500000,Capped, 
152,5 ,Liam Livingstone  ,20000000,87500000,Capped, 
153,6 ,Rasikh Dar,3000000,60000000,Uncapped, 
154,7 ,Krunal Pandya,20000000,57500000,Capped, 
155,8 ,Tim David  ,20000000,30000000,Capped, 
156,9 ,Jacob Bethell  ,12500000,26000000,Capped, 
157,10 ,Suyash Sharma,3000000,26000000,Uncapped, 
158,11 ,Devdutt Padikkal,20000000,20000000,Capped, 
159,12 ,Nuwan Thushara  ,7500000,16000000,Capped, 
160,13 ,Romario Shepherd  ,15000000,15000000,Capped, 
161,14 ,Lungisani Ngidi  ,10000000,10000000,Capped, 
162,15 ,Swapnil Singh,3000000,5000000,Uncapped,   
163,16 ,Mohit Rathee,3000000,3000000,Uncapped, 
164,17 ,Abhinandan Singh,3000000,3000000,Uncapped, 
165,18 ,Swastik Chhikara,3000000,3000000,Uncapped, 
166,19 ,Manoj Bhandage,3000000,3000000,Uncapped, 
167,1 ,Josh Hazlewood   ,20000000,125000000,Capped, 
168,2 ,Phil Salt  ,20000000,115000000,Capped, 
169,3 ,Jitesh Sharma,10000000,110000000,Capped, 
170,4 ,Bhuvneshwar Kumar,20000000,107500000,Capped, 
171,5 ,Liam Livingstone  ,20000000,87500000,Capped, 
172,6 ,Rasikh Dar,3000000,60000000,Uncapped, 
173,7 ,Krunal Pandya,20000000,57500000,Capped, 
174,8 ,Tim David  ,20000000,30000000,Capped, 
175,9 ,Jacob Bethell  ,12500000,26000000,Capped, 
176,10 ,Suyash Sharma,3000000,26000000,Uncapped, 
177,11 ,Devdutt Padikkal,20000000,20000000,Capped, 
178,12 ,Nuwan Thushara  ,7500000,16000000,Capped, 
179,13 ,Romario Shepherd  ,15000000,15000000,Capped, 
180,14 ,Lungisani Ngidi  ,10000000,10000000,Capped, 
181,15 ,Swapnil Singh,3000000,5000000,Uncapped,   
182,16 ,Mohit Rathee,3000000,3000000,Uncapped, 
183,17 ,Abhinandan Singh,3000000,3000000,Uncapped, 
184,18 ,Swastik Chhikara,3000000,3000000,Uncapped, 
185,19 ,Manoj Bhandage,3000000,3000000,Uncapped, 
